tinh,ma_vung,dien_tich_tinh_ha,dien_tich_o_nhiem_ha,ty_le_o_nhiem_pct,so_vu_tai_nan_2010_2022,so_nan_nhan_2010_2022,ky_tai_thu_hoi_tan_2015_2023,ghi_chu
An Giang,TNB,353300,46200,13.1,26,42,220,"Ô nhiễm nhẹ, chủ yếu Tri Tôn, Tịnh Biên"
Bà Rịa - Vũng Tàu,ĐNB,197500,32100,16.3,22,36,180,Ô nhiễm cục bộ tại Xuyên Mộc
Bình Dương,ĐNB,269400,63200,23.5,32,48,280,"Ô nhiễm cục bộ tại Bến Cát, Dầu Tiếng"
Bình Phước,ĐNB,687400,278900,40.6,68,108,820,Tuyến ranh giới với Campuchia
Bình Thuận,NTB,779400,131600,16.9,62,96,680,Ô nhiễm tập trung ở Bắc Bình và Tuy Phong
Bình Định,NTB,606000,238400,39.3,124,206,1580,"Ô nhiễm trung bình, tập trung miền tây tỉnh"
Bạc Liêu,TNB,266700,32000,12.0,14,20,100,Ô nhiễm thấp
Bắc Giang,ĐB,389600,89600,23.0,32,50,360,Ô nhiễm cục bộ
Bắc Kạn,ĐB,486400,121600,25.0,32,50,380,Ô nhiễm cục bộ
Bắc Ninh,ĐBSH,82200,10700,13.0,10,14,80,Ô nhiễm thấp
Bến Tre,TNB,236100,28400,12.0,16,24,120,Ô nhiễm cục bộ
Cao Bằng,ĐB,668700,180500,27.0,54,86,640,Ô nhiễm biên giới cao
Cà Mau,TNB,522100,42300,8.1,18,28,140,Ô nhiễm thấp nhất khu vực
Cần Thơ,TNB,143900,15200,10.6,8,12,60,Ô nhiễm thấp nhất
Gia Lai,TN,1553800,548700,35.3,124,208,1580,Ô nhiễm dọc quốc lộ 14 và 19
Hoà Bình,TB,459000,142300,31.0,52,84,620,Ô nhiễm cục bộ
Hà Giang,ĐB,791500,205800,26.0,58,92,680,Ô nhiễm biên giới cao
Hà Nam,ĐBSH,86200,12100,14.0,10,14,80,Ô nhiễm nhẹ
Hà Nội,ĐBSH,335900,43700,13.0,22,32,220,Ô nhiễm ven đô
Hà Tĩnh,BTB,599000,287000,47.9,164,278,1980,Cửa ngõ vào tuyến vận tải phía Nam
Hưng Yên,ĐBSH,93000,12100,13.0,10,14,80,Ô nhiễm thấp
Hải Dương,ĐBSH,166800,25000,15.0,14,22,140,Ô nhiễm nhẹ
Hải Phòng,ĐB,156100,32800,21.0,22,34,240,Ô nhiễm cảng biển và Cát Bà
Hậu Giang,TNB,162200,18400,11.3,10,16,80,Ô nhiễm thấp
Khánh Hoà,NTB,516000,145600,28.2,72,118,860,Ô nhiễm cục bộ tại Ninh Hoà và Cam Ranh
Kiên Giang,TNB,634700,68400,10.8,36,54,340,"Ô nhiễm thấp, tập trung tuyến biên giới"
Kon Tum,TN,967000,478100,49.4,106,182,1420,Tuyến biên giới ba nước ô nhiễm nặng
Lai Châu,TB,906900,326500,36.0,64,102,780,Ô nhiễm biên giới với Trung Quốc
Long An,TNB,449300,85800,19.1,42,68,480,Vùng Đồng Tháp Mười và tuyến biên giới
Lào Cai,ĐB,637200,159300,25.0,56,88,660,Ô nhiễm biên giới sau chiến sự 1979
Lâm Đồng,TN,977500,192900,19.7,56,88,620,"Ô nhiễm cục bộ, chủ yếu ở phía nam"
Lạng Sơn,ĐB,832100,258900,31.1,68,108,820,Ô nhiễm biên giới nặng
Nam Định,ĐBSH,166900,26700,16.0,16,24,160,Ô nhiễm ven biển
Nghệ An,BTB,1649000,624000,37.8,182,296,2100,"Diện tích rộng, ô nhiễm cục bộ tại miền tây"
Ninh Bình,ĐBSH,138800,29200,21.0,16,24,160,Ô nhiễm cục bộ
Ninh Thuận,NTB,335500,68000,20.3,48,72,520,Ô nhiễm thấp hơn trung bình khu vực
Phú Thọ,ĐB,353500,74200,21.0,32,50,360,Ô nhiễm nhẹ
Phú Yên,NTB,506100,182200,36.0,88,142,1120,Ô nhiễm ven biển và miền núi
