thu_tu_uu_tien,chi_so_o_luoi,kinh_do,vi_do,xac_suat_con_vat_no,chi_so_uu_tien,tai_trong_bom_ghi_nhan_tan,so_ho_bom_phat_hien,khoang_cach_khu_dan_cu_m,la_dat_canh_tac,da_ra_pha,ghi_chu
1,13395,107.033579,16.774409,1.0000,0.9991,0.73,1,483,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
2,11197,107.035457,16.765416,1.0000,0.9986,0.15,0,300,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
3,25764,106.873006,16.825670,1.0000,0.9982,0.23,0,100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
4,9113,106.937799,16.757322,1.0000,0.9980,0.54,0,541,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
5,10108,107.045786,16.760919,1.0000,0.9977,0.50,0,1000,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
6,25379,106.924652,16.823872,1.0000,0.9976,0.50,0,1149,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
7,9432,107.030762,16.758221,1.0000,0.9976,0.19,0,241,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
8,25159,106.924652,16.822972,1.0000,0.9975,0.54,0,1190,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
9,26260,106.925591,16.827469,1.0000,0.9975,0.54,1,1083,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
10,25820,106.925591,16.825670,1.0000,0.9975,0.51,1,1166,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
11,9212,107.030762,16.757322,1.0000,0.9974,0.21,0,283,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
12,11630,107.028884,16.767214,1.0000,0.9973,0.03,0,666,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
13,26696,106.921835,16.829268,1.0000,0.9973,0.15,0,600,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
14,21877,106.941555,16.809482,1.0000,0.9972,0.58,1,1666,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
15,7577,106.941555,16.751027,1.0000,0.9972,0.64,1,1200,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
16,34112,106.861738,16.859845,1.0000,0.9971,0.15,2,1231,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
17,12744,107.042030,16.771711,1.0000,0.9971,0.08,0,100,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
18,26969,106.971603,16.830167,1.0000,0.9970,0.28,2,400,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
19,4365,107.024188,16.737537,1.0000,0.9970,0.14,1,1373,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
20,13174,107.032640,16.773510,1.0000,0.9970,0.77,0,541,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
21,27783,106.909628,16.833764,1.0000,0.9969,0.51,1,341,co,co,Thu tu uu tien ra pha. Khong phai xac nhan an toan.
